"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.948215542E0,-3.242257690E-1,-4.861889648E-1,1.055874298E1,1.057490215E1
2.958201542E0,-3.037184143E-1,-5.150788879E-1,1.061053528E1,1.062737080E1
2.968188542E0,-3.585044861E-1,-6.059399414E-1,1.065439407E1,1.067763091E1
2.978174542E0,-4.279600525E-1,-6.749464417E-1,1.070094727E1,1.073074904E1
2.988161542E0,-4.315525818E-1,-6.938072205E-1,1.072549622E1,1.075657358E1
2.998147542E0,-5.017565918E-1,-6.328839111E-1,1.080393311E1,1.083407921E1
3.008134542E0,-5.331912231E-1,-6.397695923E-1,1.065244812E1,1.068495433E1
3.018121542E0,-5.325924683E-1,-6.732998657E-1,1.056682617E1,1.060164151E1
3.028107542E0,-5.355862427E-1,-7.581733704E-1,1.043824356E1,1.047943740E1
3.038094542E0,-5.269042969E-1,-7.768844604E-1,1.029050079E1,1.033322719E1
3.048080542E0,-5.043013000E-1,-7.795788574E-1,1.022972717E1,1.027177594E1
3.058067708E0,-4.698728943E-1,-8.514294434E-1,1.012284943E1,1.016945393E1
3.068053708E0,-4.836442566E-1,-9.276210022E-1,1.009605515E1,1.015010946E1
3.078040708E0,-4.809498596E-1,-9.377998352E-1,1.019440063E1,1.024873580E1
